Iteration 234, time = 165s, loss_lab = 0.0252, loss_unl = 0.4358, train err = 0.0034, test err = 0.3274
Iteration 235, time = 165s, loss_lab = 0.0249, loss_unl = 0.4327, train err = 0.0040, test err = 0.3266
Iteration 236, time = 165s, loss_lab = 0.0247, loss_unl = 0.4320, train err = 0.0034, test err = 0.3260
Iteration 237, time = 165s, loss_lab = 0.0249, loss_unl = 0.4322, train err = 0.0034, test err = 0.3264
Iteration 238, time = 164s, loss_lab = 0.0253, loss_unl = 0.4341, train err = 0.0035, test err = 0.3271
Iteration 239, time = 164s, loss_lab = 0.0246, loss_unl = 0.4298, train err = 0.0035, test err = 0.3278
Iteration 240, time = 165s, loss_lab = 0.0244, loss_unl = 0.4298, train err = 0.0031, test err = 0.3278
Iteration 241, time = 166s, loss_lab = 0.0237, loss_unl = 0.4301, train err = 0.0028, test err = 0.3276
Iteration 242, time = 164s, loss_lab = 0.0245, loss_unl = 0.4264, train err = 0.0036, test err = 0.3262
Iteration 243, time = 165s, loss_lab = 0.0249, loss_unl = 0.4293, train err = 0.0038, test err = 0.3251
Iteration 244, time = 165s, loss_lab = 0.0248, loss_unl = 0.4288, train err = 0.0035, test err = 0.3255
Iteration 245, time = 165s, loss_lab = 0.0244, loss_unl = 0.4263, train err = 0.0037, test err = 0.3250
Iteration 246, time = 165s, loss_lab = 0.0237, loss_unl = 0.4276, train err = 0.0034, test err = 0.3251
Iteration 247, time = 165s, loss_lab = 0.0244, loss_unl = 0.4313, train err = 0.0031, test err = 0.3257
Iteration 248, time = 165s, loss_lab = 0.0247, loss_unl = 0.4290, train err = 0.0035, test err = 0.3262
Iteration 249, time = 164s, loss_lab = 0.0238, loss_unl = 0.4265, train err = 0.0033, test err = 0.3259
Iteration 250, time = 165s, loss_lab = 0.0235, loss_unl = 0.4265, train err = 0.0030, test err = 0.3273
Iteration 251, time = 167s, loss_lab = 0.0240, loss_unl = 0.4293, train err = 0.0032, test err = 0.3269
Iteration 252, time = 167s, loss_lab = 0.0231, loss_unl = 0.4228, train err = 0.0033, test err = 0.3265
